Date,Multiplier
9/25/14,1
9/26/14,1
9/27/14,1
9/28/14,1
9/29/14,1
9/30/14,1
10/1/14,1
10/2/14,1
10/3/14,1
10/4/14,1
10/5/14,1
10/6/14,1
10/7/14,1
10/8/14,1
10/9/14,1
10/10/14,1
10/11/14,1
10/12/14,1
10/13/14,1
10/14/14,1
10/15/14,1
10/16/14,1
10/17/14,1
10/18/14,1
10/19/14,1
10/20/14,1
10/21/14,1
10/22/14,1
10/23/14,1
10/24/14,1
10/25/14,1
10/26/14,1
10/27/14,1
10/28/14,1
10/29/14,1
10/30/14,1
10/31/14,1
11/1/14,1
11/2/14,1
11/3/14,1
11/4/14,1
11/5/14,1
11/6/14,1
11/7/14,1
11/8/14,1
11/9/14,1
11/10/14,1
11/11/14,1
11/12/14,1
11/13/14,1
11/14/14,1
11/15/14,1
11/16/14,1
11/17/14,1
11/18/14,1
11/19/14,1
11/20/14,1
11/21/14,1
11/22/14,1
11/23/14,1
11/24/14,1
11/25/14,1
11/26/14,1
11/27/14,1
11/28/14,1
11/29/14,1
11/30/14,1
12/1/14,1
12/2/14,1
12/3/14,1
12/4/14,1
12/5/14,1
12/6/14,1
12/7/14,1
12/8/14,1
12/9/14,1
12/10/14,1
12/11/14,1
12/12/14,1
12/13/14,1
12/14/14,1
12/15/14,1
12/16/14,1
12/17/14,1
12/18/14,1
12/19/14,1
12/20/14,1
12/21/14,1
12/22/14,1
12/23/14,1
12/24/14,1
12/25/14,1
12/26/14,1
12/27/14,1
12/28/14,1
12/29/14,1
12/30/14,1
12/31/14,1
1/1/15,1
1/2/15,1
1/3/15,1
1/4/15,1
1/5/15,1
1/6/15,1
1/7/15,1
1/8/15,1
1/9/15,1
1/10/15,1
1/11/15,1
1/12/15,1
1/13/15,1
1/14/15,1
1/15/15,1
1/16/15,1
1/17/15,1
1/18/15,1
1/19/15,1
1/20/15,1
1/21/15,1
1/22/15,1
1/23/15,1
1/24/15,1
1/25/15,1
1/26/15,1
1/27/15,1
1/28/15,1
1/29/15,1
1/30/15,1
1/31/15,1
2/1/15,1
2/2/15,1
2/3/15,1
2/4/15,1
2/5/15,1
2/6/15,1
2/7/15,1
2/8/15,1
2/9/15,1
2/10/15,1
2/11/15,1
2/12/15,1
2/13/15,1
2/14/15,1
2/15/15,1
2/16/15,1
2/17/15,1
2/18/15,1
2/19/15,1
2/20/15,1
2/21/15,1
2/22/15,1
2/23/15,1
2/24/15,1
2/25/15,1
2/26/15,1
2/27/15,1
2/28/15,1
3/1/15,1
3/2/15,1
3/3/15,1
3/4/15,1
3/5/15,1
3/6/15,1
3/7/15,1
3/8/15,1
3/9/15,1
3/10/15,1
3/11/15,1
3/12/15,1
3/13/15,1
3/14/15,1
3/15/15,1
3/16/15,1
3/17/15,1
3/18/15,1
3/19/15,1
3/20/15,1
3/21/15,1
3/22/15,1
3/23/15,1
3/24/15,1
3/25/15,1
3/26/15,1
3/27/15,1
3/28/15,1
3/29/15,1
3/30/15,1
3/31/15,1
4/1/15,1
4/2/15,1
4/3/15,1
4/4/15,1
4/5/15,1
4/6/15,1
4/7/15,1
4/8/15,1
4/9/15,1
4/10/15,1
4/11/15,1
4/12/15,1
4/13/15,1
4/14/15,1
4/15/15,1
4/16/15,1
4/17/15,1
4/18/15,1
4/19/15,1
4/20/15,1
4/21/15,1
4/22/15,1
4/23/15,1
4/24/15,1
4/25/15,1
4/26/15,1
4/27/15,1
4/28/15,1
4/29/15,1
4/30/15,1
5/1/15,1
5/2/15,1
5/3/15,1
5/4/15,1
5/5/15,1
5/6/15,1
5/7/15,1
5/8/15,1
5/9/15,1
5/10/15,1
5/11/15,1
5/12/15,1
5/13/15,1
5/14/15,1
5/15/15,1
5/16/15,1
5/17/15,1
5/18/15,1
5/19/15,1
5/20/15,1
5/21/15,1
5/22/15,1
5/23/15,1
5/24/15,1
5/25/15,1
5/26/15,1
5/27/15,1
5/28/15,1
5/29/15,1
5/30/15,1
5/31/15,1
6/1/15,1
6/2/15,1
6/3/15,1
6/4/15,1
6/5/15,1
6/6/15,1
6/7/15,1
6/8/15,1
6/9/15,1
6/10/15,1
6/11/15,1
6/12/15,1
6/13/15,1
6/14/15,1
6/15/15,1
6/16/15,1
6/17/15,1
6/18/15,1
6/19/15,1
6/20/15,1
6/21/15,1
6/22/15,1
6/23/15,1
6/24/15,1
6/25/15,1
6/26/15,1
6/27/15,1
6/28/15,1
6/29/15,1
6/30/15,1
7/1/15,1
7/2/15,1
7/3/15,1
7/4/15,1
7/5/15,1
7/6/15,1
7/7/15,1
7/8/15,1
7/9/15,1
7/10/15,1
7/11/15,1
7/12/15,1
7/13/15,1
7/14/15,1
7/15/15,1
7/16/15,1
7/17/15,1
7/18/15,1
7/19/15,1
7/20/15,1
7/21/15,1
7/22/15,1
7/23/15,1
7/24/15,1
7/25/15,1
7/26/15,1
7/27/15,1
7/28/15,1
7/29/15,1
7/30/15,1
7/31/15,1
8/1/15,1
8/2/15,1
8/3/15,1
8/4/15,1
8/5/15,1
8/6/15,1
8/7/15,1
8/8/15,1
8/9/15,1
8/10/15,1
8/11/15,1
8/12/15,1
8/13/15,1
8/14/15,1
8/15/15,1
8/16/15,1
8/17/15,1
8/18/15,1
8/19/15,1
8/20/15,1
8/21/15,1
8/22/15,1
8/23/15,1
8/24/15,1
8/25/15,1
8/26/15,1
8/27/15,1
8/28/15,1
8/29/15,1
8/30/15,1
8/31/15,1
9/1/15,1
9/2/15,1
9/3/15,1
9/4/15,1
9/5/15,1
9/6/15,1
9/7/15,1
9/8/15,1
9/9/15,1
9/10/15,1
9/11/15,1
9/12/15,1
9/13/15,1
9/14/15,1
9/15/15,1
9/16/15,1
9/17/15,1
9/18/15,1
9/19/15,1
9/20/15,1
9/21/15,1
9/22/15,1
9/23/15,1
9/24/15,1
9/25/15,1
9/26/15,1
9/27/15,1
9/28/15,1
9/29/15,1
9/30/15,1
10/1/15,1
10/2/15,1
10/3/15,1
10/4/15,1
10/5/15,1
10/6/15,1
10/7/15,1
10/8/15,1
10/9/15,1
10/10/15,1
10/11/15,1
10/12/15,1
10/13/15,1
10/14/15,1
10/15/15,1
10/16/15,1
10/17/15,1
10/18/15,1
10/19/15,1
10/20/15,1
10/21/15,1
10/22/15,1
10/23/15,1
10/24/15,1
10/25/15,1
10/26/15,1
10/27/15,1
10/28/15,1
10/29/15,1
10/30/15,1
10/31/15,1
11/1/15,1
11/2/15,1
11/3/15,1
11/4/15,1
11/5/15,1
11/6/15,1
11/7/15,1
11/8/15,1
11/9/15,1
11/10/15,1
11/11/15,1
11/12/15,1
11/13/15,1
11/14/15,1
11/15/15,1
11/16/15,1
11/17/15,1
11/18/15,1
11/19/15,1
11/20/15,1
11/21/15,1
11/22/15,1
11/23/15,1
11/24/15,1
11/25/15,1
11/26/15,1
11/27/15,1
11/28/15,1
11/29/15,1
11/30/15,1
12/1/15,1
12/2/15,1
12/3/15,1
12/4/15,1
12/5/15,1
12/6/15,1
12/7/15,1
12/8/15,1
12/9/15,1
12/10/15,1
12/11/15,1
12/12/15,1
12/13/15,1
12/14/15,1
12/15/15,1
12/16/15,1
12/17/15,1
12/18/15,1
12/19/15,1
12/20/15,1
12/21/15,1
12/22/15,1
12/23/15,1
12/24/15,1
12/25/15,1
12/26/15,1
12/27/15,1
12/28/15,1
12/29/15,1
12/30/15,1
12/31/15,1
1/1/16,1
1/2/16,1
1/3/16,1
1/4/16,1
1/5/16,1
1/6/16,1
1/7/16,1
1/8/16,1
1/9/16,1
1/10/16,1
1/11/16,1
1/12/16,1
1/13/16,1
1/14/16,1
1/15/16,1
1/16/16,1
1/17/16,1
1/18/16,1
1/19/16,1
1/20/16,1
1/21/16,1
1/22/16,1
1/23/16,1
1/24/16,1
1/25/16,1
1/26/16,1
1/27/16,1
1/28/16,1
1/29/16,1
1/30/16,1
1/31/16,1
2/1/16,1
2/2/16,1
2/3/16,1
2/4/16,1
2/5/16,1
2/6/16,1
2/7/16,1
2/8/16,1
2/9/16,1
2/10/16,1
2/11/16,1
2/12/16,1
2/13/16,1
2/14/16,1
2/15/16,1
2/16/16,1
2/17/16,1
2/18/16,1
2/19/16,1
2/20/16,1
2/21/16,1
2/22/16,1
2/23/16,1
2/24/16,1
2/25/16,1
2/26/16,1
2/27/16,1
2/28/16,1
2/29/16,1
3/1/16,1
3/2/16,1
3/3/16,1
3/4/16,1
3/5/16,1
3/6/16,1
3/7/16,1
3/8/16,1
3/9/16,1
3/10/16,1
3/11/16,1
3/12/16,1
3/13/16,1
3/14/16,1
3/15/16,1
3/16/16,1
3/17/16,1
3/18/16,1
3/19/16,1
3/20/16,1
3/21/16,1
3/22/16,1
3/23/16,1
3/24/16,1
3/25/16,1
3/26/16,1
3/27/16,1
3/28/16,1
3/29/16,1
3/30/16,1
3/31/16,1
4/1/16,1
4/2/16,1
4/3/16,1
4/4/16,1
4/5/16,1
4/6/16,1
4/7/16,1
4/8/16,1
4/9/16,1
4/10/16,1
4/11/16,1
4/12/16,1
4/13/16,1
4/14/16,1
4/15/16,1
4/16/16,1
4/17/16,1
4/18/16,1
4/19/16,1
4/20/16,1
4/21/16,1
4/22/16,1
4/23/16,1
4/24/16,1
4/25/16,1
4/26/16,1
4/27/16,1
4/28/16,1
4/29/16,1
4/30/16,1
5/1/16,1
5/2/16,1
5/3/16,1
5/4/16,1
5/5/16,1
5/6/16,1
5/7/16,1
5/8/16,1
5/9/16,1
5/10/16,1
5/11/16,1
5/12/16,1
5/13/16,1
5/14/16,1
5/15/16,1
5/16/16,1
5/17/16,1
5/18/16,1
5/19/16,1
5/20/16,1
5/21/16,1
5/22/16,1
5/23/16,1
5/24/16,1
5/25/16,1
5/26/16,1
5/27/16,1
5/28/16,1
5/29/16,1
5/30/16,1
5/31/16,1
6/1/16,1
6/2/16,1
6/3/16,1
6/4/16,1
6/5/16,1
6/6/16,1
6/7/16,1
6/8/16,1
6/9/16,1
6/10/16,1
6/11/16,1
6/12/16,1
6/13/16,1
6/14/16,1
6/15/16,1
6/16/16,1
6/17/16,1
6/18/16,1
6/19/16,1
6/20/16,1
6/21/16,1
6/22/16,1
6/23/16,1
6/24/16,1
6/25/16,1
6/26/16,1
6/27/16,1
6/28/16,1
6/29/16,1
6/30/16,1
7/1/16,1
7/2/16,1
7/3/16,1
7/4/16,1
7/5/16,1
7/6/16,1
7/7/16,1
7/8/16,1
7/9/16,1
7/10/16,1
7/11/16,1
7/12/16,1
7/13/16,1
7/14/16,1
7/15/16,1
7/16/16,1
7/17/16,1
7/18/16,1
7/19/16,1
7/20/16,1
7/21/16,1
7/22/16,1
7/23/16,1
7/24/16,1
7/25/16,1
7/26/16,1
7/27/16,1
7/28/16,1
7/29/16,1
7/30/16,1
7/31/16,1
8/1/16,1
8/2/16,1
8/3/16,1
8/4/16,1
8/5/16,1
8/6/16,1
8/7/16,1
8/8/16,1
8/9/16,1
8/10/16,1
8/11/16,1
8/12/16,1
8/13/16,1
8/14/16,1
8/15/16,1
8/16/16,1
8/17/16,1
8/18/16,1
8/19/16,1
8/20/16,1
8/21/16,1
8/22/16,1
8/23/16,1
8/24/16,1
8/25/16,1
8/26/16,1
8/27/16,1
8/28/16,1
8/29/16,1
8/30/16,1
8/31/16,1
9/1/16,1
9/2/16,1
9/3/16,1
9/4/16,1
9/5/16,1
9/6/16,1
9/7/16,1
9/8/16,1
9/9/16,1
9/10/16,1
9/11/16,1
9/12/16,1
9/13/16,1
9/14/16,1
9/15/16,1
9/16/16,1
9/17/16,1
9/18/16,1
9/19/16,1
9/20/16,1
9/21/16,1
9/22/16,1
9/23/16,1
9/24/16,1
9/25/16,1
9/26/16,1
9/27/16,1
9/28/16,1
9/29/16,1
9/30/16,1
10/1/16,1
10/2/16,1
10/3/16,1
10/4/16,1
10/5/16,1
10/6/16,1
10/7/16,1
10/8/16,1
10/9/16,1
10/10/16,1
10/11/16,1
10/12/16,1
10/13/16,1
10/14/16,1
10/15/16,1
10/16/16,1
10/17/16,1
10/18/16,1
10/19/16,1
10/20/16,1
10/21/16,1
10/22/16,1
10/23/16,1
10/24/16,1
10/25/16,1
10/26/16,1
10/27/16,1
10/28/16,1
10/29/16,1
10/30/16,1
10/31/16,1
11/1/16,1
11/2/16,1
11/3/16,1
11/4/16,1
11/5/16,1
11/6/16,1
11/7/16,1
11/8/16,1
11/9/16,1
11/10/16,1
11/11/16,1
11/12/16,1
11/13/16,1
11/14/16,1
11/15/16,1
11/16/16,1
11/17/16,1
11/18/16,1
11/19/16,1
11/20/16,1
11/21/16,1
11/22/16,1
11/23/16,1
11/24/16,1
11/25/16,1
11/26/16,1
11/27/16,1
11/28/16,1
11/29/16,1
11/30/16,1
12/1/16,1
12/2/16,1
12/3/16,1
12/4/16,1
12/5/16,1
12/6/16,1
12/7/16,1
12/8/16,1
12/9/16,1
12/10/16,1
12/11/16,1
12/12/16,1
12/13/16,1
12/14/16,1
12/15/16,1
12/16/16,1
12/17/16,1
12/18/16,1
12/19/16,1
12/20/16,1
12/21/16,1
12/22/16,1
12/23/16,1
12/24/16,1
12/25/16,1
12/26/16,1
12/27/16,1
12/28/16,1
12/29/16,1
12/30/16,1
12/31/16,1
1/1/17,1
1/2/17,1
1/3/17,1
1/4/17,1
1/5/17,1
1/6/17,1
1/7/17,1
1/8/17,1
1/9/17,1
1/10/17,1
1/11/17,1
1/12/17,1
1/13/17,1
1/14/17,1
1/15/17,1
1/16/17,1
1/17/17,1
1/18/17,1
1/19/17,1
1/20/17,1
1/21/17,1
1/22/17,1
1/23/17,1
1/24/17,1
1/25/17,1
1/26/17,1
1/27/17,1
1/28/17,1
1/29/17,1
1/30/17,1
1/31/17,1
2/1/17,1
2/2/17,1
2/3/17,1
2/4/17,1
2/5/17,1
2/6/17,1
2/7/17,1
2/8/17,1
2/9/17,1
2/10/17,1
2/11/17,1
2/12/17,1
2/13/17,1
2/14/17,1
2/15/17,1
2/16/17,1
2/17/17,1
2/18/17,1
2/19/17,1
2/20/17,1
2/21/17,1
2/22/17,1
2/23/17,1
2/24/17,1
2/25/17,1
2/26/17,1
2/27/17,1
2/28/17,1
3/1/17,1
3/2/17,1
3/3/17,1
3/4/17,1
3/5/17,1
3/6/17,1
3/7/17,1
3/8/17,1
3/9/17,1
3/10/17,1
3/11/17,1
3/12/17,1
3/13/17,1
3/14/17,1
3/15/17,1
3/16/17,1
3/17/17,1
3/18/17,1
3/19/17,1
3/20/17,1
3/21/17,1
3/22/17,1
3/23/17,1
3/24/17,1
3/25/17,1
3/26/17,1
3/27/17,1
3/28/17,1
3/29/17,1
3/30/17,1
3/31/17,1
4/1/17,1
4/2/17,1
4/3/17,1
4/4/17,1
4/5/17,1
4/6/17,1
4/7/17,1
4/8/17,1
4/9/17,1
4/10/17,1
4/11/17,1
4/12/17,1
4/13/17,1
4/14/17,1
4/15/17,1
4/16/17,1
4/17/17,1
4/18/17,1
4/19/17,1
4/20/17,1
4/21/17,1
4/22/17,1
4/23/17,1
4/24/17,1
4/25/17,1
4/26/17,1
4/27/17,1
4/28/17,1
4/29/17,1
4/30/17,1
5/1/17,1
5/2/17,1
5/3/17,1
5/4/17,1
5/5/17,1
5/6/17,1
5/7/17,1
5/8/17,1
5/9/17,1
5/10/17,1
5/11/17,1
5/12/17,1
5/13/17,1
5/14/17,1
5/15/17,1
5/16/17,1
5/17/17,1
5/18/17,1
5/19/17,1
5/20/17,1
5/21/17,1
5/22/17,1
5/23/17,1
5/24/17,1
5/25/17,1
5/26/17,1
5/27/17,1
5/28/17,1
5/29/17,1
5/30/17,1
5/31/17,1
6/1/17,1
6/2/17,1
6/3/17,1
6/4/17,1
6/5/17,1
6/6/17,1
6/7/17,1
6/8/17,1
6/9/17,1
6/10/17,1
6/11/17,1
6/12/17,1
6/13/17,1
6/14/17,1
6/15/17,1
6/16/17,1
6/17/17,1
6/18/17,1
6/19/17,1
6/20/17,1
6/21/17,1
6/22/17,1
6/23/17,1
6/24/17,1
6/25/17,1
6/26/17,1
6/27/17,1
6/28/17,1
6/29/17,1
6/30/17,1
7/1/17,1
7/2/17,1
7/3/17,1
7/4/17,1
7/5/17,1
7/6/17,1
7/7/17,1
7/8/17,1
7/9/17,1
7/10/17,1
7/11/17,1
7/12/17,1
7/13/17,1
7/14/17,1
7/15/17,1
7/16/17,1
7/17/17,1
7/18/17,1
7/19/17,1
7/20/17,1
7/21/17,1
7/22/17,1
7/23/17,1
7/24/17,1
7/25/17,1
7/26/17,1
7/27/17,1
7/28/17,1
7/29/17,1
7/30/17,1
7/31/17,1
8/1/17,1
8/2/17,1
8/3/17,1
8/4/17,1
8/5/17,1
8/6/17,1
8/7/17,1
8/8/17,1
8/9/17,1
8/10/17,1
8/11/17,1
8/12/17,1
8/13/17,1
8/14/17,1
8/15/17,1
8/16/17,1
8/17/17,1
8/18/17,1
8/19/17,1
8/20/17,1
8/21/17,1
8/22/17,1
8/23/17,1
8/24/17,1
8/25/17,1
8/26/17,1
8/27/17,1
8/28/17,1
8/29/17,1
8/30/17,1
8/31/17,1
9/1/17,1.033
9/2/17,1.066
9/3/17,1.1
9/4/17,1.05
9/5/17,1
9/6/17,1
9/7/17,1
9/8/17,1
9/9/17,1
9/10/17,1.083
9/11/17,1.166
9/12/17,1.25
9/13/17,1.2422
9/14/17,1.2344
9/15/17,1.2266
9/16/17,1.2188
9/17/17,1.211
9/18/17,1.2032
9/19/17,1.1954
9/20/17,1.1876
9/21/17,1.1798
9/22/17,1.172
9/23/17,1.1642
9/24/17,1.1564
9/25/17,1.1486
9/26/17,1.1408
9/27/17,1.133
9/28/17,1.1252
9/29/17,1.1174
9/30/17,1.1096
10/1/17,1.1018
10/2/17,1.094
10/3/17,1.0866
10/4/17,1.0784
10/5/17,1.0706
10/6/17,1.0628
10/7/17,1.055
10/8/17,1.0472
10/9/17,1.0394
10/10/17,1.0316
10/11/17,1.0238
10/12/17,1.016
10/13/17,1.0082
10/14/17,1
10/15/17,1
10/16/17,1
10/17/17,1
10/18/17,1
10/19/17,1
10/20/17,1
10/21/17,1
10/22/17,1
10/23/17,1
10/24/17,1
10/25/17,1
10/26/17,0.9833
10/27/17,0.9667
10/28/17,0.9833
10/29/17,1
10/30/17,1
10/31/17,1
11/1/17,1
11/2/17,1
11/3/17,1
11/4/17,1
11/5/17,1
11/6/17,1
11/7/17,1
11/8/17,1
11/9/17,1.04
11/10/17,1.08
11/11/17,1.12
11/12/17,1.16
11/13/17,1.21
11/14/17,1.16
11/15/17,1.12
11/16/17,1.08
11/17/17,1.04
11/18/17,1
11/19/17,1
11/20/17,1
11/21/17,1
11/22/17,1
11/23/17,1
11/24/17,1
11/25/17,1
11/26/17,1
11/27/17,1
11/28/17,1
11/29/17,1
11/30/17,1
12/1/17,1
12/2/17,1
12/3/17,1
12/4/17,1
12/5/17,1
12/6/17,1
12/7/17,1
12/8/17,1
12/9/17,1
12/10/17,1
12/11/17,1
12/12/17,0.9875
12/13/17,0.975
12/14/17,0.9875
12/15/17,1
12/16/17,1
12/17/17,1
12/18/17,1
12/19/17,1
12/20/17,1
12/21/17,1
12/22/17,1
12/23/17,1
12/24/17,1
12/25/17,1
12/26/17,1
12/27/17,1
12/28/17,1
12/29/17,1.035
12/30/17,1.07
12/31/17,1.106
1/1/18,1.08
1/2/18,1.054
1/3/18,1.027
1/4/18,1
1/5/18,1
1/6/18,1
1/7/18,1
1/8/18,1
1/9/18,1
1/10/18,1
1/11/18,1
1/12/18,1
1/13/18,1
1/14/18,1
1/15/18,1
1/16/18,1.085
1/17/18,1.17
1/18/18,1.256
1/19/18,1.17
1/20/18,1.085
1/21/18,1
1/22/18,1
1/23/18,1
1/24/18,1
1/25/18,1
1/26/18,1
1/27/18,1
1/28/18,1
1/29/18,1
1/30/18,1.077
1/31/18,1.155
2/1/18,1.232
2/2/18,1.309
2/3/18,1.387
2/4/18,1.464
2/5/18,1.542
2/6/18,1.619
2/7/18,1.7
2/8/18,1.65
2/9/18,1.6
2/10/18,1.55
2/11/18,1.5
2/12/18,1.45
2/13/18,1.4
2/14/18,1.35
2/15/18,1.3
2/16/18,1.25
2/17/18,1.2
2/18/18,1.15
2/19/18,1.1
2/20/18,1.05
2/21/18,1
2/22/18,1
2/23/18,1
2/24/18,1
2/25/18,1
2/26/18,1
2/27/18,1
2/28/18,1
3/1/18,1
3/2/18,1
3/3/18,1
3/4/18,1
3/5/18,1
3/6/18,1